"video_id","title","channel_title","published_at","view_count","like_count","comment_count","category_id"
"jWBNOxp_sOY","Aaj Kehna Zaroori Hai ❤️ | Andaaz | Romantic Bollywood Song","Filmy Melodies","2026-06-25T05:30:25Z","1096503","1033","8","24"
"uBotyv_TSZg","Mirzapur The Movie | Official Hindi Teaser | Pankaj Tripathi | Ali Fazal | Divyenndu | 4th Sept","Excel Movies","2026-06-25T06:29:50Z","22175304","270828","11834","1"
"D_qo_5LcSAY","I Opened a GUN SHOP in Minecraft!","ProBoiz 95","2026-06-26T13:46:49Z","2180433","53678","5040","20"
"eMz5BcvPXBg","Mangal Sutra (Official Video) Masoom Sharma | Ashu Twinkle | Rohit Deshwal | Shivani Yadav |","Golden Tunes","2026-06-27T04:30:04Z","352750","36559","2731","10"
"7u-L-_4AYWo","SAATO RE BAHINIYA I सातो रे बहिनिया I OFFICIAL TRAILER I YAMINI SINGH I NEW BHOJPURI MOVIE","B4U Bhojpuri","2026-06-27T02:30:02Z","261152","3294","63","1"
"BAMi1kLnA8o","50 SOLO KILLS HOKE RAHEGA | CLASSIC HACKER OR WHAT | BGMI LIVE","LoLzZz Gaming","2026-06-27T22:37:10Z","508775","29352","31","20"
"LzyAj6Q2b0w","4K #Video | दिलजले | #Raushan Rohi & #Srishti Bharti | Diljale | Ft. #Shivani | New #Rangdari Song","Raushan Rohi Entertainment","2026-06-27T01:00:24Z","477306","29714","2123","10"
"rPZw29Zh6Oo","Prahaar Teaser | Rajkummar R | Wamiqa G | Jaideep A | Sikandar K | Dinesh V | Avinash A|7th Aug 2026","Maddock Films","2026-06-25T08:55:02Z","7270683","67300","7249","24"
"bOqiSIEfckw","I Flew My Rocket To The SKY In This Game!","ProBoii","2026-06-27T12:11:33Z","573519","17820","1872","20"
"fMcFO3Zalpw","SAWLA BATEU ( Official Video ) Armaan Malik | Anjali 99 | Chirayu, Ayaan, Zaid, Tuba","Number 1 Records","2026-06-26T04:30:01Z","1956299","87435","11059","10"
